Wavelength (nm),05:00,09:00,13:00,17:00
400.0,0.22,0.22,0.01794736842105264,0.07121052631578947
402.0134228187919,0.22,0.22,0.01794736842105264,0.09567396679618256
404.0268456375839,0.22,0.22,0.01794736842105264,0.07410526315789474
406.0402684563758,0.22,0.22,0.01794736842105264,0.18529424231720068
408.0536912751678,0.22,0.22,0.01794736842105264,0.16326315789473683
410.06711409395973,0.22,0.22,0.01794736842105264,0.12045990815966481
412.08053691275165,0.22,0.22,0.01794736842105264,0.09789067467326096
414.09395973154363,0.22,0.22,0.01794736842105264,0.07088122571529516
416.10738255033556,0.22,0.22,0.01794736842105264,0.022213705404444506
418.12080536912754,0.22,0.22,0.01794736842105264,0.0889884846344064
420.13422818791946,0.22,0.22,0.01794736842105264,0.16162112327799427
422.1476510067114,0.21062804662663395,0.1728371600141293,0.01794736842105264,0.1673585305545744
424.16107382550337,0.18218580007064597,0.20489297068173928,0.01794736842105264,0.02280430943128947
426.1744966442953,0.1806432356057929,0.21520522783468743,0.01794736842105264,0.16557894736842105
428.18791946308727,0.21578417520310864,0.17533945602260695,0.01794736842105264,0.01678947368421053
430.2013422818792,0.1774765100671141,0.17660614623807838,0.017687036382903577,0.16557894736842105
432.2147651006711,0.17111586012010216,0.1772511480042389,0.01791628399858704,0.16557894736842105
434.2281879194631,0.19999328859060403,0.17110420346167435,0.01794736842105264,0.16557894736842105
436.241610738255,0.1717025785941361,0.04642847050512974,0.01791239844577885,0.16557894736842105
438.255033557047,0.18272200635817765,0.0907198869657378,0.01769480748851996,0.07549629106323005
440.2684563758389,0.19722677499116906,0.1715238431649595,0.017407276580713563,0.00544754503708997
442.28187919463085,0.0891229247615534,0.20131826209819736,0.017617096432356,0.08069904627338528
444.2953020134228,0.16860190745319684,0.16744401271635473,0.017368421052631585,0.15403885552807528
446.30872483221475,0.1847580360296728,0.09645107735781794,0.017702578594136383,0.0045849523136696916
448.32214765100673,0.2005683504062172,0.1952296008477592,0.01794736842105264,0.16557894736842105
450.33557046979865,0.13142105263157336,0.04399999999999999,0.017368421052631585,0.005890498057223338
452.3489932885906,0.17048640056517123,0.1616661956905653,0.017368421052631585,0.009263157894736846
454.36241610738256,0.15031649593782434,0.1345877781702521,0.018664707606514546,0.07770328505828926
456.3758389261745,0.16827552101730844,0.050892970681737905,0.02280047899271239,0.030769692688098982
458.38926174496646,0.17438361003179098,0.21652631578947368,0.02693625037891035,0.16557894736842105
460.4026845637584,0.06208336276934086,0.17246803249735077,0.031072021765108194,0.16557894736842105
462.41610738255036,0.19619710349699526,0.17144224655598786,0.035207793151306156,0.10666231013775226
464.4295302013423,0.20492016955139516,0.19688873189685632,0.039343564537504,0.14960155422112265
466.44295302013427,0.2087124690921939,0.059888025432709144,0.043479335923701956,0.16684952313670084
468.4563758389262,0.03126315789473684,0.07859696220416769,0.047615107309899804,0.17264288237371955
470.4697986577181,0.04344436594842632,0.06310526315789473,0.05175087869609765,0.061425409160486666
472.48322147651004,0.03423172024020176,0.06542105263157895,0.055886650082295486,0.01678947368421053
