Band,pa11_b,pa24,pa24c,pa8,pas10,pas3b,pas3c,pas5,pas8,gc2_3a,gc2_4a,gc2_4b,gc2_4c,gc2_7a,gc2_7b,gc2_7c,gc2_18a,gc2_18b,gc2_18c,gc2_18d,gc2_18e,gc2_18f,gc2_27a,gc2_27b,gc_28aA,gc_28aB,gc2_29,gc2_29A,prob27_28,prob28,prob28_29,prob29,prob30,prob31,prob31_32,prob32
400,0.008553970159680978,0.025082933919136775,0.011789988280055444,0.0208819871221561,0.01556068993242852,0.004639872181365076,0.005717783205364807,0.012100113950745423,0.005395970056677101,0.007065223921404305,0.007573375632169077,0.008327221905820109,0.0058398615479819975,0.005615072510650587,0.0038690541680106378,0.004866441916168498,0.0038578441419078644,0.00362305673287121,0.00450323560995722,0.004472369244822564,0.004339197058720054,0.00441204035174373,0.004088804971731059,0.0039049277320047765,0.003459394729800663,0.003418512190040606,0.0020024923556306346,0.0028538360400583484,0.003703481076991686,0.003853880402001036,0.0036859223482923493,0.0038979382464019953,0.003761495488101856,0.003381176347597748,0.003705205409551411,0.004180156703035456
402,0.013945430714344734,0.04077739208629944,0.019217505984448043,0.03398988354642563,0.025320745750771853,0.007517515863603749,0.00927196605784693,0.01968979790313427,0.008797816227090112,0.011544067905471399,0.012601416469839316,0.013702155629995957,0.00995537438148667,0.009179464881665683,0.0063800867767287535,0.007970270640354183,0.006336364530089462,0.005964629302325918,0.007354417077502566,0.007287776894150057,0.007108691614500531,0.0071871307739949835,0.006700616185062257,0.006421834351581319,0.005672355335291281,0.005613693480479822,0.003290551043720572,0.004690283724578112,0.006087401622750967,0.006300343789186578,0.006044750221039279,0.006370330330374538,0.006130916270431855,0.005480674582883379,0.00601530603312281,0.0068046951756650315
405,0.015338334664207559,0.04431752397165789,0.021010992214073,0.037026995053614786,0.027653066217825362,0.00819647515378523,0.010109182865023984,0.021611707377987403,0.009680947676469277,0.012808996657692265,0.014246224332998127,0.015267643771771462,0.011575827612377822,0.010145752196096865,0.007154110270305978,0.008834450873860672,0.007076808863934852,0.006688534781416766,0.008141610122216533,0.008052079733999276,0.007921035871588019,0.007930053261401617,0.007468910149481051,0.007192451615103756,0.006337718768014528,0.006285803268007754,0.0036930528427880486,0.005269340153537106,0.006837227993832778,0.007023813987206682,0.006752521033126456,0.007086161152406388,0.006794003464096521,0.006027097098916522,0.006622871788364566,0.007540752228958689
407,0.015154434472316644,0.04324152800281379,0.020609287373852654,0.036182048560703055,0.027079192949046416,0.008022092765254587,0.009902450668747578,0.02141224102564503,0.009554886938453128,0.012860731067434817,0.014433560577141933,0.015330115818288869,0.011862340869175404,0.0101427904830146,0.007253841252679503,0.008853320658394481,0.00715077801709451,0.006776005211944692,0.008160715175612036,0.008050480680163449,0.007973446864088638,0.007920024802259807,0.007530090973962541,0.007273823486691413,0.006402179938777663,0.006361413281792956,0.0037481584488025005,0.0053574191909517895,0.0069332907857804155,0.007087097977241597,0.006790188767185906,0.007104876730502628,0.0067906466966503876,0.005970770618006163,0.006570012978743205,0.0075348648543006715
410,0.015227385770521767,0.042834737736754856,0.02052804791537279,0.03593192637715101,0.026940816072976954,0.008014272453214507,0.009877523308554716,0.021638778563376582,0.009594610779465565,0.013127468175282809,0.01469063758475918,0.01558283509179074,0.012006329820171024,0.010306953410577569,0.007446195132017298,0.009021451643839743,0.007328562970197943,0.006953147739944516,0.00831574286516431,0.008176685369948164,0.00813780053060279,0.008043760629163408,0.007710583646543084,0.007458524457843859,0.0065649052070070185,0.006529691521577899,0.003857426271700364,0.00552345593726123,0.007140109659482084,0.007268388127474212,0.006926937591125296,0.007229566606671876,0.006890835233015341,0.0060069577286728385,0.006622214923329946,0.007643170019212979
412,0.01526670957980793,0.04205986343415139,0.020333114548509893,0.03551964127928877,0.026706559055709844,0.008048169599608994,0.009839003603155832,0.02178915454714388,0.009646176065954967,0.013251891781296456,0.014652182230871004,0.01561586793374135,0.011794689615702755,0.01034619609171619,0.007513821186722601,0.009098396439637899,0.0074013824546857775,0.007031470946554035,0.00836648139789168,0.0081924639601229,0.008193867698718316,0.008069521036445355,0.007804516126525931,0.00755728359790478,0.006655126827755148,0.0066202811446261405,0.003919088791975947,0.005617874582300154,0.007298744441354659,0.007377876580522752,0.007020485370244634,0.007295534374964433,0.006928658910938502,0.005994003429272289,0.006626482128325709,0.00768640758684559
415,0.015464163867800458,0.041649827941344766,0.020336254955644544,0.03547515213739097,0.026763422197778303,0.008186376353319853,0.009923564846049312,0.02213215359651061,0.009831613439241648,0.013492300213614158,0.014712782800349055,0.01576870333646663,0.01163817568776501,0.010477534795916808,0.0076389553592371385,0.009261489248185036,0.007526285863958438,0.007161495494022579,0.008483513982580813,0.00827437889879852,0.008315873763206997,0.008164297622026131,0.007963756633853937,0.007719357892618011,0.006804830984000114,0.006766104146792362,0.004015241212054729,0.005759956701554644,0.007522892992586889,0.007556011560756112,0.007199427820308571,0.007438158623160794,0.007037401954145903,0.0060424283479376785,0.006707537283667436,0.007811406042377984
417,0.01538702639315753,0.04072237879133393,0.020041493943321543,0.034911263275812045,0.026420828436145054,0.008144533498508704,0.009868763554720364,0.022065005488307348,0.009869396218380346,0.013614498435167278,0.014746481229391737,0.015808995375044807,0.011545903981684168,0.010539306946809768,0.007738081417702415,0.009347213689000251,0.007590770874296856,0.0072356585926789015,0.008531029933427206,0.008303441089843662,0.00837707435387407,0.008200468914575869,0.008048742703794532,0.007809793311761585,0.0068968856785336,0.006853034738474741,0.004082684065701681,0.00586187679637656,0.007638119413398636,0.007664901716721676,0.0073153157636835255,0.007510422130774972,0.007085762435514058,0.0060324848918532,0.006734383810432404,0.00787026654972123
419,0.015400639326891008,0.04007738760567948,0.019872192413892212,0.03457206487228723,0.02623712716547614,0.008136283459980185,0.009882660376730603,0.02210717368093051,0.009974816669103966,0.0138707027886803,0.014997925211822694,0.016046442856794244,0.011807626004203303,0.010712109816360827,0.0079457078360992,0.009521555442608022,0.007726589741649794,0.007378662719875069,0.008652249087313874,0.008426062863287048,0.008520291503890014,0.008317345811343904,0.008206084211768447,0.00796734386240046,0.007053579329938471,0.00700299723458229,0.004190181534680239,0.006018448469025912,0.007802454802499879,0.007838562088919459,0.007485690176487498,0.007639219363368005,0.007191167617626523,0.006068383494476886,0.006815502197063156,0.007994691375922331
422,0.015526900766896326,0.039442246084175354,0.01975797641911209,0.03434532648198859,0.026133341911214778,0.008217022085695157,0.009940369552622709,0.022280274571681413,0.010143052304777085,0.014151582387855225,0.015268741211378887,0.01635783609079504,0.012355965162491999,0.010883105159524498,0.00817190939362338,0.009698581801911368,0.007855418030903017,0.00751552375547037,0.008754813574382117,0.008557478597087949,0.008656766745460603,0.008427116008322438,0.008368454052054325,0.008122339093304802,0.007213035747189481,0.007154504766470176,0.004295088774953999,0.006163013910232853,0.007990285512815547,0.008008667743345263,0.007636643807460707,0.007754735572444206,0.007281870261975599,0.006095958065155015,0.006879809029232979,0.008107834176916639
